SALES_ID,ORDER_ID,ORDER_DATE,CLOSE_DATE,CUSTOMER_ID,PRODUCT_ID,QUANTITY,UNIT_PRICE,DISCOUNT_AMT,TAX_AMT,TOTAL_AMOUNT,CURRENCY,SALES_CHANNEL,STATUS,RETURN_FLAG,SALES_REP_ID,DEPARTMENT_ID,DEPARTMENT_NAME,REGION_CODE,REGION_NAME,MARKET_AREA_CODE,MARKET_AREA_NAME,SOURCE_SYSTEM,BATCH_ID,INGEST_TS,RECORD_HASH,IS_DELETED
14,ORD-100014,2022-04-13,2022-05-09,CUST-6442,SKU-834,41.47,797.67,11.63,2646.35,35714.09,USD,Direct,Won,false,186,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-NORTH,Europe - North,CRM,CRMLOAD-4628,2025-09-24 04:58:31.000,ihKoBmSTQicKfSH5,False
15,ORD-100015,2025-08-03,2025-08-27,CUST-2795,SKU-566,33.11,829.82,50.75,2198.03,29622.62,GBP,Online,Won,false,263,SLS,Sales,NA,North America,APAC-SOUTH,APAC - South,CRM,CRMLOAD-6646,2025-09-24 04:58:31.000,4xi6V39BjEEyWp8n,False
16,ORD-100016,2022-08-05,2022-08-31,CUST-5039,SKU-429,41.66,248.28,72.49,827.47,6467.36,GBP,Online,Won,false,241,SLS,Sales,APAC,"Europe, Middle East & Africa",EU-NORTH,Europe - North,CRM,CRMLOAD-7090,2025-09-24 04:58:31.000,5jbBTH79QqyeyUtl,False
17,ORD-100017,2024-01-09,2024-02-07,CUST-7853,SKU-629,44.91,651.79,11,2341.75,31602.64,INR,Direct,Closed,false,259,SLS,Sales,APAC,Asia Pacific,US-WEST,United States - West,CRM,CRMLOAD-8267,2025-09-24 04:58:31.000,Vi78gGcUiwuSxTJ1,False
18,ORD-100018,2022-01-30,2022-02-08,CUST-4262,SKU-821,16.46,457.01,70.76,601.79,8053.41,INR,Partner,Won,false,246,SLS,Sales,APAC,Asia Pacific,EU-WEST,Europe - West,CRM,CRMLOAD-1337,2025-09-24 04:58:31.000,ehSc1F71zvAVCS9U,False
19,ORD-100019,2023-11-18,2023-12-10,CUST-9566,SKU-205,37.37,503.12,58.09,1504.13,20247.63,INR,Partner,Won,false,287,SLS,Sales,APAC,Asia Pacific,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-4970,2025-09-24 04:58:31.000,VoO2rGUbpLtZlFzk,False
20,ORD-100020,2025-09-17,2025-10-27,CUST-3388,SKU-537,18.09,105.51,29.49,152.69,2031.88,AUD,Partner,Closed,false,95,SLS,Sales,EMEA,"Europe, Middle East & Africa",LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-4773,2025-09-24 04:58:31.000,OoPi8H5PnTMxQVQn,False
21,ORD-100021,2025-06-03,2025-07-31,CUST-4998,SKU-284,16.82,123.8,23,166.59,2225.91,CAD,Direct,Closed,false,273,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-WEST,Europe - West,CRM,CRMLOAD-9022,2025-09-24 04:58:31.000,BrbRAn9zyDiguV7A,False
22,ORD-100022,2023-03-29,2023-05-02,CUST-4157,SKU-153,11.85,88.26,80.3,83.67,1049.25,JPY,Online,Lost,false,119,SLS,Sales,NA,North America,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-4700,2025-09-24 04:58:31.000,iOHwSnLziWlXVBCm,False
23,ORD-100023,2021-10-13,2021-11-02,CUST-2962,SKU-880,35.12,382.38,56.28,1074.33,14447.24,GBP,Online,Lost,false,84,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-NORTH,Europe - North,CRM,CRMLOAD-7847,2025-09-24 04:58:31.000,Aj2jojIWb5RZABfq,False
24,ORD-100024,2025-11-19,2025-12-02,CUST-6100,SKU-373,14.97,901.83,83.35,1080.03,14497.08,JPY,Online,Closed,false,92,SLS,Sales,LATAM,Latin America,US-EAST,United States - East,CRM,CRMLOAD-5010,2025-09-24 04:58:31.000,FFTgzXpdDuWERQfP,False
25,ORD-100025,2023-03-23,2023-04-09,CUST-8621,SKU-694,23.59,654.2,41.56,1234.61,16625.63,USD,Partner,Closed,false,114,SLS,Sales,LATAM,Asia Pacific,EU-NORTH,Europe - North,CRM,CRMLOAD-1654,2025-09-24 04:58:31.000,sLHchzjHKM2LVh25,False
26,ORD-100026,2024-04-26,2024-05-21,CUST-9488,SKU-457,41.55,558.01,43.45,1854.83,24996.7,EUR,Direct,Won,false,215,SLS,Sales,NA,North America,APAC-SOUTH,APAC - South,CRM,CRMLOAD-7095,2025-09-24 04:58:31.000,QJMzYFAMQlutH92z,False
27,ORD-100027,2023-05-08,2023-05-17,CUST-6648,SKU-650,13.08,757.22,37.93,792.36,10658.87,EUR,Direct,Lost,false,24,SLS,Sales,LATAM,Latin America,APAC-NORTH,APAC - North,CRM,CRMLOAD-6758,2025-09-24 04:58:31.000,OK6wJKw4EDbB4aNf,False
28,ORD-100028,2023-12-20,2024-01-10,CUST-2432,SKU-828,36.92,71.67,74.05,211.68,2783.69,USD,Online,Open,false,259,SLS,Sales,APAC,Asia Pacific,US-WEST,United States - West,CRM,CRMLOAD-4654,2025-09-24 04:58:31.000,NDe0D4a4PBGxpKhi,False
29,ORD-100029,2024-06-16,2024-08-13,CUST-8340,SKU-376,47.57,989.48,46,3765.57,50789.13,AUD,Online,Won,false,175,SLS,Sales,EMEA,"Europe, Middle East & Africa",LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-3742,2025-09-24 04:58:31.000,xKrk0eAtHLBrbK2G,False
30,ORD-100030,2024-10-16,2024-12-13,CUST-5313,SKU-821,15.31,759.37,29.7,930.08,12526.33,JPY,Direct,Closed,false,53,SLS,Sales,NA,North America,US-WEST,United States - West,CRM,CRMLOAD-4144,2025-09-24 04:58:31.000,7y540HXM3lAluaDE,False
31,ORD-100031,2023-07-26,2023-08-05,CUST-2378,SKU-272,40.87,932.34,97.16,3048.38,41055.96,GBP,Direct,Open,false,212,SLS,Sales,APAC,Asia Pacific,EU-WEST,Europe - West,CRM,CRMLOAD-4710,2025-09-24 04:58:31.000,t5l1u8XRVn5qHxj6,False
32,ORD-100032,2023-05-02,2023-05-23,CUST-7918,SKU-460,40.3,331.13,35.96,1067.56,14376.14,INR,Online,Won,false,37,SLS,Sales,NA,North America,EU-WEST,Europe - West,CRM,CRMLOAD-7075,2025-09-24 04:58:31.000,ogIkrsxz8GIyHYGF,False
33,ORD-100033,2022-12-21,2022-12-27,CUST-2420,SKU-686,10.08,227.74,8.93,183.65,2470.34,GBP,Partner,Open,false,213,SLS,Sales,APAC,Asia Pacific,APAC-NORTH,APAC - North,CRM,CRMLOAD-2878,2025-09-24 04:58:31.000,oFsb6sM2Wiy3wPBU,False
34,ORD-100034,2024-09-25,2024-11-23,CUST-6221,SKU-868,19.92,852.19,30.47,1358.05,18303.2,GBP,Direct,Won,false,248,SLS,Sales,LATAM,Latin America,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-2384,2025-09-24 04:58:31.000,nuGMjjpvXzIkSYKY,False
35,ORD-100035,2024-04-26,2024-06-17,CUST-8112,SKU-323,30.84,298.57,2.47,736.63,9942.06,CAD,Partner,Won,false,249,SLS,Sales,LATAM,Latin America,EU-WEST,Europe - West,CRM,CRMLOAD-6538,2025-09-24 04:58:31.000,fpNIeDw90Xo2wOYo,False
36,ORD-100036,2022-09-16,2022-10-04,CUST-2440,SKU-204,9.75,426.6,42.64,332.75,4449.46,INR,Online,Closed,false,288,SLS,Sales,LATAM,Latin America,APAC-NORTH,APAC - North,CRM,CRMLOAD-4199,2025-09-24 04:58:31.000,VdkcFbe6iXJvJRuG,False
37,ORD-100037,2024-11-16,2025-01-03,CUST-4921,SKU-368,30.25,347.09,33.2,839.96,11306.23,EUR,Direct,Won,false,205,SLS,Sales,LATAM,Latin America,US-EAST,United States - East,CRM,CRMLOAD-7384,2025-09-24 04:58:31.000,keyGoyY3vckxlnO0,False
38,ORD-100038,2025-04-13,2025-06-06,CUST-4557,SKU-462,27.27,519.39,66.44,1133.1,15230.43,EUR,Partner,Closed,false,306,SLS,Sales,APAC,Asia Pacific,EU-NORTH,Europe - North,CRM,CRMLOAD-2108,2025-09-24 04:58:31.000,juOpQ8ahSVht1my6,False
39,ORD-100039,2023-06-15,2023-08-11,CUST-5545,SKU-916,49.72,909.07,48.94,3615.92,48765.94,JPY,Online,WON?,false,64,SLS,Sales,NA,North America,EU-NORTH,Europe - North,CRM,CRMLOAD-5653,2025-09-24 04:58:31.000,F59nWeOsFtkN0EFw,False
40,ORD-100040,2022-12-06,2022-12-14,CUST-3950,SKU-897,18.5,665.01,24.16,984.21,13262.74,EUR,Partner,Closed,false,37,SLS,Sales,NA,North America,EU-WEST,Europe - West,CRM,CRMLOAD-9504,2025-09-24 04:58:31.000,mEZXoDKapTPBJGvf,False
41,ORD-100041,2025-02-28,2025-03-26,CUST-1653,SKU-306,38.86,445.19,76.95,1384.01,18607.14,AUD,Online,Won,false,117,SLS,Sales,EMEA,"Europe, Middle East & Africa",US-EAST,United States - East,CRM,CRMLOAD-8409,2025-09-24 04:58:31.000,5JR14UuoATQwAYXH,False
42,ORD-100042,2021-08-26,2021-10-14,CUST-5675,SKU-240,15.67,295.16,45.45,370.01,4949.72,CAD,Partner,Won,false,291,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-6017,2025-09-24 04:58:31.000,UGfrGyWVoarN34ub,False
43,ORD-100043,2021-11-12,2021-11-15,CUST-3646,SKU-355,26.92,935.24,1.86,2014.13,27188.93,USD,Partner,Won,false,193,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-3155,2025-09-24 04:58:31.000,PK7Fv4MvOjl2CXnD,False
44,ORD-100044,2022-05-01,2022-06-18,CUST-5696,SKU-807,40.31,604.23,39.34,1948.52,26265.69,INR,Online,Won,false,108,SLS,Sales,EMEA,"Europe, Middle East & Africa",APAC-NORTH,APAC - North,CRM,CRMLOAD-3928,2025-09-24 04:58:31.000,tgxC9xz8SCynjDNg,False
45,ORD-100045,2023-09-03,2023-09-10,CUST-6377,SKU-491,9.49,608.71,34.45,462.13,6204.34,JPY,Partner,Open,false,208,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-2291,2025-09-24 04:58:31.000,B5vNKzBAPHP7CLzB,False
46,ORD-100046,2021-01-26,2021-02-25,CUST-8815,SKU-785,20.4,574.34,7.88,937.32,12645.98,JPY,Partner,Won,false,256,SLS,Sales,APAC,Asia Pacific,US-WEST,United States - West,CRM,CRMLOAD-7907,2025-09-24 04:58:31.000,W8oS7HwCpevcyBaH,False
47,ORD-100047,2024-07-06,2024-08-09,CUST-2773,SKU-923,14.82,333.06,37.76,394.88,5293.07,GBP,Online,Closed,false,45,SLS,Sales,NA,North America,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-3876,2025-09-24 04:58:31.000,ysFgsnUWLihfGVwv,False
48,ORD-100048,2022-01-22,2022-02-10,CUST-9532,SKU-735,43.82,390.4,56.06,1368.59,18419.86,AUD,Partner,Lost,false,81,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-8273,2025-09-24 04:58:31.000,uZNbxRH6XZ8v4aXf,False
49,ORD-100049,2023-10-21,2023-11-18,CUST-9659,SKU-515,33.51,988.68,43.75,2650.45,35737.37,INR,Direct,Closed,false,296,SLS,Sales,EMEA,"Europe, Middle East & Africa",APAC-NORTH,APAC - North,CRM,CRMLOAD-1302,2025-09-24 04:58:31.000,So7isLPBsHP1Tz8F,False
50,ORD-100050,2024-09-19,2024-09-30,CUST-5760,SKU-392,14.97,185.09,24.51,221.66,3149.73,AUD,Partner,Closed,false,140,SLS,Sales,NA,North America,US-EAST,United States - East,CRM,CRMLOAD-9443,2025-09-24 04:58:31.000,umA35X1xqGa5ohJh,False
51,ORD-100051,2025-08-15,2025-09-19,CUST-7345,SKU-430,22.17,521.3,88.39,924.58,12393.41,INR,Direct,Returned,true,265,SLS,Sales,NA,North America,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-3055,2025-09-24 04:58:31.000,LqSEtBag4fyPc5m7,False
52,ORD-100052,2023-06-08,2023-07-16,CUST-3851,SKU-519,29.72,610.71,8.9,1452.02,19593.42,CAD,Online,Returned,true,66,SLS,Sales,APAC,Asia Pacific,US-WEST,United States - West,CRM,CRMLOAD-4805,2025-09-24 04:58:31.000,FcVgIqk7MTLI2dxn,False
53,ORD-100053,2024-05-06,2024-06-10,CUST-7118,SKU-153,20.32,921.34,23.32,1497.73,20196.04,GBP,Partner,Closed,false,220,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-3435,2025-09-24 04:58:31.000,DopvfiwjvOsiApo5,False
54,ORD-100054,2022-04-27,2022-05-06,CUST-7082,SKU-319,21.93,627.99,61.97,1101.75,14811.6,EUR,Partner,Closed,false,192,SLS,Sales,NA,North America,EU-WEST,Europe - West,CRM,CRMLOAD-5219,2025-09-24 04:58:31.000,GToKslSVhc1KJJla,False
55,ORD-100055,2023-01-29,2023-03-27,CUST-9442,SKU-287,44.13,648.51,95.65,2289.5,30812.6,USD,Direct,Closed,false,263,SLS,Sales,NA,North America,APAC-SOUTH,APAC - South,CRM,CRMLOAD-5793,2025-09-24 04:58:31.000,EVI8H4iTL2uCYpx0,False
56,ORD-100056,2024-08-21,2024-09-05,CUST-4603,SKU-240,24.99,34.31,76.38,68.59,849.62,INR,Online,Won,false,198,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-1257,2025-09-24 04:58:31.000,0X7PjA9avjkrMe1A,False
57,ORD-100057,2021-12-21,2022-01-22,CUST-9281,SKU-323,5.96,533.25,34.92,254.25,3397.5,CAD,Online,Closed,false,182,SLS,Sales,NA,North America,EU-NORTH,Europe - North,CRM,CRMLOAD-2379,2025-09-24 04:58:31.000,axxQLEf5tzvN6lnk,False
58,ORD-100058,2023-07-10,2023-07-25,CUST-8880,SKU-429,29.55,345.56,81.86,816.9,6607.09,JPY,Direct,Won,false,73,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-4005,2025-09-24 04:58:31.000,UGOYfd6r7yjZlgET,False
59,ORD-100059,2022-02-11,2022-02-27,CUST-9678,SKU-213,33.84,956.31,50.77,2588.92,34899.68,AUD,Direct,Won,false,1,SLS,Sales,LATAM,Latin America,APAC-SOUTH,APAC - South,CRM,CRMLOAD-9849,2025-09-24 04:58:31.000,EryONMd3R4LO3UNc,False
60,ORD-100060,2021-02-19,2021-02-24,CUST-5348,SKU-233,36.13,849.06,38.65,2454.12,35092.52,EUR,Direct,Returned,true,191,SLS,Sales,LATAM,Latin America,US-WEST,United States - West,CRM,CRMLOAD-2351,2025-09-24 04:58:31.000,mmUp3zlzi2bzxcn9,False
61,ORD-100061,2025-10-26,2025-11-12,CUST-9380,SKU-969,21.62,874.65,90.82,1512.79,20331.9,AUD,Direct,Won,false,291,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-1220,2025-09-24 04:58:31.000,L8l3UB0ryJ8p0O5s,False
62,ORD-100062,2024-09-20,2024-10-30,CUST-9494,SKU-436,44.54,885.35,69.83,3154.68,42518.34,AUD,Partner,Lost,false,99,SLS,Sales,APAC,Asia Pacific,EU-NORTH,Europe - North,CRM,CRMLOAD-5250,2025-09-24 04:58:31.000,6cso0lVmv8hKrUeP,False
63,ORD-100063,2022-06-12,2022-08-10,CUST-1987,SKU-627,47.91,341.36,66.93,1308.36,17595.99,USD,Partner,Closed,false,144,SLS,Sales,NA,North America,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-8270,2025-09-24 04:58:31.000,xm3PveOdockUq9rX,False
64,ORD-100064,2025-02-16,2025-02-26,CUST-4067,SKU-359,32.54,611.78,13.99,1592.59,21485.92,AUD,Partner,Won,false,272,SLS,Sales,EMEA,"Europe, Middle East & Africa",US-EAST,United States - East,CRM,CRMLOAD-2409,2025-09-24 04:58:31.000,oTcI49SSvCzyQAEg,False
65,ORD-100065,2025-12-11,2025-12-13,CUST-1456,SKU-831,3.44,948.56,54.93,261.04,3469.16,GBP,Partner,Lost,false,21,SLS,Sales,LATAM,Latin America,EU-WEST,Europe - West,CRM,CRMLOAD-4497,2025-09-24 04:58:31.000,zE5Oi0HXd9Ij9Dj3,False
66,ORD-100066,2021-05-28,2021-06-18,CUST-3296,SKU-822,37.73,193.6,2.13,584.36,7886.76,EUR,Online,Closed,false,54,SLS,Sales,APAC,Asia Pacific,LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-3836,2025-09-24 04:58:31.000,4JKK1f4UTJ4PuBsa,False
67,ORD-100067,2024-06-15,2024-07-27,CUST-5614,SKU-958,29.44,805.62,78.28,1897.4,25536.57,EUR,Direct,Won,false,37,SLS,Sales,NA,North America,EU-WEST,Europe - West,CRM,CRMLOAD-9707,2025-09-24 04:58:31.000,6uLIIJ9AtYNr3aDr,False
68,ORD-100068,2025-07-26,2025-08-08,CUST-1994,SKU-124,32.92,506.04,58.14,1332.71,17933.41,GBP,Partner,Lost,false,38,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-WEST,Europe - West,CRM,CRMLOAD-1628,2025-09-24 04:58:31.000,1xvRGujhS4cnGqEF,False
69,ORD-100069,2022-06-25,2022-08-06,CUST-6683,SKU-145,6.74,429.59,81.11,231.63,3045.96,EUR,Partner,Won,false,293,SLS,Sales,NA,North America,APAC-NORTH,APAC - North,CRM,CRMLOAD-5648,2025-09-24 04:58:31.000,W9sDB0MIF3vikpf8,False
70,ORD-100070,2024-02-12,2024-03-02,CUST-9557,SKU-515,40.09,464.13,52.13,1488.56,20043.4,EUR,Direct,Won,false,216,SLS,Sales,NA,North America,APAC-NORTH,APAC - North,CRM,CRMLOAD-3426,2025-09-24 04:58:31.000,U19DAZAmDspVvMsh,False
71,ORD-100071,2025-05-19,2025-05-29,CUST-3794,SKU-560,38.97,709.81,60.99,2212.9,29813.21,EUR,Direct,Closed,false,169,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-NORTH,Europe - North,CRM,CRMLOAD-1904,2025-09-24 04:58:31.000,j2qk0TppbuMzfa0i,False
72,ORD-100072,2022-01-09,2022-01-12,CUST-6336,SKU-647,18.79,307.5,20.71,462.23,6219.44,EUR,Online,Won,false,71,SLS,Sales,NA,North America,US-WEST,United States - West,CRM,CRMLOAD-5152,2025-09-24 04:58:31.000,rJSoiFyBwkhTNQNF,False
73,ORD-100073,2022-02-07,2022-02-14,CUST-8257,SKU-923,45.79,541.09,45.81,1982.12,26712.82,GBP,Partner,Closed,false,208,SLS,Sales,LATAM,Latin America,EU-NORTH,Europe - North,CRM,CRMLOAD-1040,2025-09-24 04:58:31.000,hLqosyNz1j1BXyp3,False
74,ORD-100074,2024-07-27,2024-09-01,CUST-5880,SKU-584,36.39,531.07,71.05,1546.05,20800.64,EUR,Direct,Won,false,179,SLS,Sales,EMEA,"Europe, Middle East & Africa",APAC-NORTH,APAC - North,CRM,CRMLOAD-6285,2025-09-24 04:58:31.000,Z3Bz6mkkszxCcvFd,False
75,ORD-100075,2023-09-14,2023-10-27,CUST-1975,SKU-797,45.35,659.18,94.6,2391.51,32190.72,AUD,Partner,Won,false,11,SLS,Sales,LATAM,Latin America,US-EAST,United States - East,CRM,CRMLOAD-6965,2025-09-24 04:58:31.000,0uiVHDhIJS3eZtzv,False
76,ORD-100076,2025-07-12,2025-07-29,CUST-7235,SKU-197,22.61,88.96,47.41,160.91,2124.89,EUR,Partner,Closed,false,27,SLS,Sales,EMEA,"Europe, Middle East & Africa",EU-WEST,Europe - West,CRM,CRMLOAD-8384,2025-09-24 04:58:31.000,1Y58tObvQXh3GXmy,False
77,ORD-100077,2023-01-10,2023-03-10,CUST-4330,SKU-343,39.18,263.35,88.78,825.44,11054.71,EUR,Direct,Closed,false,272,SLS,Sales,EMEA,"Europe, Middle East & Africa",US-EAST,United States - East,CRM,CRMLOAD-9922,2025-09-24 04:58:31.000,imnzoPoqzkdfaPdD,False
78,ORD-100078,2025-12-26,2026-02-12,CUST-6681,SKU-260,31.11,319.09,40.21,794.15,10680.83,INR,Partner,Won,false,28,SLS,Sales,,"Europe, Middle East & Africa",US-EAST,United States - East,CRM,CRMLOAD-3974,2025-09-24 04:58:31.000,imugMmFQETWBncQw,False
79,ORD-100079,2022-08-19,2022-09-04,CUST-5065,SKU-281,5.1,195.41,89.16,79.73,987.16,INR,Direct,Closed,false,226,SLS,Sales,LATAM,Latin America,US-EAST,United States - East,CRM,CRMLOAD-4703,2025-09-24 04:58:31.000,kWcX5qfA5OrQxmHL,False
80,ORD-100080,2021-10-13,2021-12-02,CUST-8897,SKU-550,12.63,969.77,27.38,979.86,13200.68,???,Direct,Won,false,181,SLS,Sales,NA,North America,US-WEST,United States - West,CRM,CRMLOAD-4043,2025-09-24 04:58:31.000,X3woF5M2mF4JXYBQ,False
81,ORD-100081,2024-11-17,2024-12-18,CUST-4938,SKU-497,22.54,528.77,81.01,953.48,12790.95,INR,Online,Returned,true,283,SLS,Sales,LATAM,Latin America,EU-WEST,Europe - West,CRM,CRMLOAD-8649,2025-09-24 04:58:31.000,xmrHqVYq4nxzeB3s,False
82,ORD-100082,2025-02-02,2025-03-26,CUST-8421,SKU-677,34.34,410.94,55.96,1128.93,15184.65,EUR,Partner,Closed,false,5,SLS,Sales,LATAM,Latin America,EU-WEST,Europe - West,CRM,CRMLOAD-3522,2025-09-24 04:58:31.000,Usia65EJ906cW9PP,False
83,ORD-100083,2025-09-28,2025-11-07,CUST-5816,SKU-997,49.99,389.89,94.46,1559.25,20955.39,USD,Direct,Won,false,132,SLS,Sales,NA,North America,US-WEST,United States - West,CRM,CRMLOAD-4638,2025-09-24 04:58:31.000,ccWlAOPrQ4DyQ2Q5,False
84,ORD-100083,2025-05-20,2025-06-28,CUST-4534,SKU-413,47.88,264.29,67.3,1012.34,13599.25,EUR,Partner,Returned,true,175,SLS,Sales,EMEA,"Europe, Middle East & Africa",LATAM-SOUTH,LATAM - South,CRM,CRMLOAD-5825,2025-09-24 04:58:31.000,bUlgLm5GsVu643KK,False
85,ORD-100085,2021-12-07,2021-12-28,CUST-8244,SKU-299,15.03,107.37,3.03,129.1,1739.84,AUD,Partner,Returned,true,51,SLS,Sales,EMEA,"Europe, Middle East & Africa",US-WEST,United States - West,CRM,CRMLOAD-3524,2025-09-24 04:58:31.000,kY6IpH0s8mm0jDIL,False
86,ORD-100086,2023-09-03,2023-09-13,CUST-1063,SKU-405,35.83,-44.36,33.71,1501.19,20232.37,EUR,Partner,Won,false,152,SLS,Sales,LATAM,Latin America,US-WEST,United States - West,CRM,CRMLOAD-6812,2025-09-24 04:58:31.000,2CiQB50WIVu9TgRc,False
87,ORD-100087,2022-12-20,2023-02-12,CUST-1420,SKU-690,30.11,530.25,10.77,1277.27,17232.33,AUD,Partner,Closed,false,8,SLS,Sales,EMEA,"Europe, Middle East & Africa",APAC-NORTH,APAC - North,CRM,CRMLOAD-8008,2025-09-24 04:58:31.000,mtgY6vm284lF1T0F,False
